** AC analysis **

** Net information **
resistor       : [ rs ]
voltage source : [ vcc vin vin2 ]
current source : [ isrc ]
vccs           : [ ]
vcvs           : [ ]
ccvs           : [ ]
cccs           : [ ]
diode          : [ ]
bjt            : [ qamp qsrc1 qsrc2 ]
capacitor      : [ ]
inductor       : [ ]

** Node information **
0  : [ vcc isrc qamp vin ]
supply: [ vcc qsrc1 qsrc2 ]
cbias: [ isrc qsrc1 qsrc1 qsrc2 ]
out: [ qsrc2 qamp ]
b  : [ qamp rs ]
input2: [ rs vin2 ]
input1: [ vin2 vin ]

freq=1.8197e+07 sol=(-1.1985e-07,5.19347e-06) s=0.0519485
freq=1.86209e+07 sol=(-8.03953e-08,5.07731e-06) s=0.0507794
freq=1.90546e+07 sol=(-4.26871e-08,4.96325e-06) s=0.0496344
freq=1.94984e+07 sol=(-6.65761e-09,4.85128e-06) s=0.0485129
freq=1.99526e+07 sol=(2.77579e-08,4.74138e-06) s=0.0474146
freq=2.04174e+07 sol=(6.06219e-08,4.63351e-06) s=0.046339
freq=2.0893e+07 sol=(9.19944e-08,4.52765e-06) s=0.0452858
freq=2.13796e+07 sol=(1.21933e-07,4.42378e-06) s=0.0442546
freq=2.18776e+07 sol=(1.50494e-07,4.32187e-06) s=0.0432449
freq=2.23872e+07 sol=(1.7773e-07,4.22189e-06) s=0.0422563
freq=2.29087e+07 sol=(2.03692e-07,4.12382e-06) s=0.0412885
freq=2.34423e+07 sol=(2.28431e-07,4.02763e-06) s=0.040341
freq=2.39883e+07 sol=(2.51992e-07,3.93329e-06) s=0.0394135
freq=2.45471e+07 sol=(2.74421e-07,3.84077e-06) s=0.0385056
freq=2.51189e+07 sol=(2.95762e-07,3.75004e-06) s=0.0376168
freq=2.5704e+07 sol=(3.16056e-07,3.66107e-06) s=0.0367469
